type	pro_type	time	N	value	sd	se	ci	ID	parameter	ID_type	value	sd	se	ci
PAC	NATL1A	24	3	1.28E+06	3.11E+05	1.80E+05	7.73E+05	NATL1A_PAC_24	pro	NATL1A_PAC	6.096701494	0.115133877	0.066472575	0.286008407
PAC	NATL1A	30	3	8.51E+06	3.15E+06	1.82E+06	7.82E+06	NATL1A_PAC_30	pro	NATL1A_PAC	6.905817163	0.185145776	0.106893963	0.459927603
PAC	NATL1A	33	3	1.84E+07	7.00E+06	4.04E+06	1.74E+07	NATL1A_PAC_33	pro	NATL1A_PAC	7.2403129	0.187910695	0.10849029	0.466796043
PAC	NATL1A	36	3	4.47E+07	1.16E+07	6.68E+06	2.87E+07	NATL1A_PAC_36	pro	NATL1A_PAC	7.63923105	0.121630478	0.070223389	0.302146858
PAC	NATL1A	42	3	1.03E+08	2.49E+07	1.44E+07	6.20E+07	NATL1A_PAC_42	pro	NATL1A_PAC	8.00681528	0.101425414	0.05855799	0.251954696
PAC	NATL1A	45	3	1.48E+08	1.83E+07	1.05E+07	4.53E+07	NATL1A_PAC_45	pro	NATL1A_PAC	8.169017501	0.054731935	0.031599498	0.135961665
PAC	NATL1A	48	3	1.43E+08	1.01E+07	5.85E+06	2.52E+07	NATL1A_PAC_48	pro	NATL1A_PAC	8.153412981	0.031500422	0.018186777	0.078251386
PAC	NATL1A	51	3	1.45E+08	9.02E+06	5.21E+06	2.24E+07	NATL1A_PAC_51	pro	NATL1A_PAC	8.161481155	0.027367546	0.01580066	0.067984754
PAR	NATL1A	0	3	7.82E+06	2.57E+05	1.48E+05	6.38E+05	NATL1A_PAR_0	pro	NATL1A_PAR	6.893228341	0.014235178	0.008218684	0.035362141
PAR	NATL1A	3	3	2.42E+07	1.91E+05	1.10E+05	4.74E+05	NATL1A_PAR_3	pro	NATL1A_PAR	7.383063951	0.00342463	0.001977211	0.008507251
PAR	NATL1A	6	3	4.95E+07	9.28E+06	5.36E+06	2.30E+07	NATL1A_PAR_6	pro	NATL1A_PAR	7.689832366	0.077960435	0.045010478	0.193664457
PAR	NATL1A	9	3	8.91E+07	6.42E+06	3.71E+06	1.59E+07	NATL1A_PAR_9	pro	NATL1A_PAR	7.948909833	0.030984523	0.017888923	0.076969823
PAR	NATL1A	12	3	1.50E+08	1.71E+07	9.89E+06	4.25E+07	NATL1A_PAR_12	pro	NATL1A_PAR	8.173020007	0.048342522	0.027910568	0.120089481
PAR	NATL1A	14	3	1.33E+08	3.30E+07	1.91E+07	8.20E+07	NATL1A_PAR_14	pro	NATL1A_PAR	8.113660222	0.106238874	0.061337042	0.263911992
