type	pro_type	time	N	value	sd	se	ci	ID	parameter	ID_type	value	sd	se	ci
PC	NATL1A	30	3	6.85E+06	1.67E+06	9.66E+05	4.16E+06	NATL1A_PC_30	Bac	NATL1A_PC	6.826862985	0.10601213	0.061206132	0.263348729
PC	NATL1A	33	3	6.45E+06	1.52E+06	8.76E+05	3.77E+06	NATL1A_PC_33	Bac	NATL1A_PC	6.801589284	0.104451403	0.060305046	0.259471669
PC	NATL1A	36	3	5.28E+06	7.69E+06	4.44E+06	1.91E+07	NATL1A_PC_36	Bac	NATL1A_PC	6.976707447	0.106502477	0.075308623	0.956886789
PC	NATL1A	42	3	1.10E+07	1.54E+07	8.91E+06	3.83E+07	NATL1A_PC_42	Bac	NATL1A_PC	7.297287652	0.04420577	0.0312582	0.397173089
PC	NATL1A	45	3	2.27E+07	1.27E+07	7.33E+06	3.15E+07	NATL1A_PC_45	Bac	NATL1A_PC	7.308642261	0.248748885	0.143615235	0.617926485
PC	NATL1A	48	3	1.17E+07	7.15E+06	4.13E+06	1.78E+07	NATL1A_PC_48	Bac	NATL1A_PC	6.998674944	0.325257393	0.187787444	0.807984157
PC	NATL1A	51	3	2.61E+07	8.05E+06	4.65E+06	2.00E+07	NATL1A_PC_51	Bac	NATL1A_PC	7.401634711	0.145703235	0.084121802	0.3619469
PR	NATL1A	0	3	1.29E+06	4.12E+05	2.38E+05	1.02E+06	NATL1A_PR_0	Bac	NATL1A_PR	6.094610202	0.156653078	0.090443697	0.389147819
PR	NATL1A	3	3	-2.14E+06	1.60E+06	9.22E+05	3.97E+06	NATL1A_PR_3	Bac	NATL1A_PR				
PR	NATL1A	6	3	-9.80E+06	2.38E+06	1.37E+06	5.91E+06	NATL1A_PR_6	Bac	NATL1A_PR				
PR	NATL1A	9	3	-1.77E+07	2.91E+07	1.68E+07	7.22E+07	NATL1A_PR_9	Bac	NATL1A_PR	6.930291201	NA	NA	NA
PR	NATL1A	12	3	7.19E+07	2.80E+07	1.62E+07	6.97E+07	NATL1A_PR_12	Bac	NATL1A_PR	7.831869371	0.186940578	0.107930193	0.46438614
PR	NATL1A	14	3	-4.03E+07	2.28E+07	1.32E+07	5.66E+07	NATL1A_PR_14	Bac	NATL1A_PR				
PR	NATL1A	18	3	-3.13E+07	1.43E+07	8.26E+06	3.55E+07	NATL1A_PR_18	Bac	NATL1A_PR				
PR	NATL1A	21	3	3.05E+07	5.03E+07	2.90E+07	1.25E+08	NATL1A_PR_21	Bac	NATL1A_PR	7.759449813	0.126760824	0.089633438	1.138900814
PR	NATL1A	24	3	1.88E+07	2.05E+07	1.19E+07	5.10E+07	NATL1A_PR_24	Bac	NATL1A_PR	7.461265496	0.155685693	0.110086409	1.398780451
PR	NATL1A	30	3	4.55E+07	1.58E+07	9.11E+06	3.92E+07	NATL1A_PR_30	Bac	NATL1A_PR	7.637493085	0.168739073	0.097421549	0.419171095
PR	NATL1A	33	3	5.18E+07	1.77E+07	1.02E+07	4.39E+07	NATL1A_PR_33	Bac	NATL1A_PR	7.696981131	0.148843291	0.085934714	0.369747233
PR	NATL1A	36	3	1.48E+08	2.28E+07	1.31E+07	5.65E+07	NATL1A_PR_36	Bac	NATL1A_PR	8.167812553	0.064786293	0.037404384	0.160938073
PR	NATL1A	42	3	1.48E+08	1.23E+07	7.09E+06	3.05E+07	NATL1A_PR_42	Bac	NATL1A_PR	8.168644738	0.03670242	0.021190152	0.091173866
PR	NATL1A	45	3	2.12E+08	2.70E+07	1.56E+07	6.71E+07	NATL1A_PR_45	Bac	NATL1A_PR	8.323948141	0.053570852	0.030929146	0.133077374
P	NATL1A	0	3	1.22E+07	4.54E+05	2.62E+05	1.13E+06	NATL1A_P_0	Total	NATL1A_P	7.084638703	0.016244649	0.009378852	0.040353945
P	NATL1A	3	3	1.34E+07	2.23E+06	1.29E+06	5.55E+06	NATL1A_P_3	Total	NATL1A_P	7.124087346	0.076356064	0.044084194	0.189678978
P	NATL1A	6	3	5.13E+07	2.95E+06	1.70E+06	7.33E+06	NATL1A_P_6	Total	NATL1A_P	7.70927051	0.025434205	0.014684445	0.063182068
P	NATL1A	9	3	1.15E+08	8.48E+06	4.90E+06	2.11E+07	NATL1A_P_9	Total	NATL1A_P	8.058425512	0.032760183	0.0189141	0.081380805
P	NATL1A	12	3	1.43E+08	1.06E+07	6.15E+06	2.64E+07	NATL1A_P_12	Total	NATL1A_P	8.154151424	0.032539343	0.018786599	0.08083221
P	NATL1A	14	3	1.77E+08	5.65E+06	3.26E+06	1.40E+07	NATL1A_P_14	Total	NATL1A_P	8.248059037	0.013768672	0.007949346	0.034203277
P	NATL1A	18	3	2.15E+08	9.90E+06	5.72E+06	2.46E+07	NATL1A_P_18	Total	NATL1A_P	8.331939097	0.02006759	0.011586028	0.049850656
P	NATL1A	21	3	2.11E+08	1.35E+06	7.78E+05	3.35E+06	NATL1A_P_21	Total	NATL1A_P	8.324129491	0.002768988	0.001598676	0.006878548
P	NATL1A	24	3	2.46E+08	3.03E+07	1.75E+07	7.52E+07	NATL1A_P_24	Total	NATL1A_P	8.388592301	0.055322197	0.031940285	0.137427955
P	NATL1A	30	3	2.88E+08	7.37E+06	4.26E+06	1.83E+07	NATL1A_P_30	Total	NATL1A_P	8.459183131	0.011082329	0.006398386	0.027530031
P	NATL1A	33	3	2.84E+08	5.37E+07	3.10E+07	1.33E+08	NATL1A_P_33	Total	NATL1A_P	8.447502671	0.08758888	0.050569464	0.21758284
P	NATL1A	36	3	3.51E+08	1.34E+07	7.71E+06	3.32E+07	NATL1A_P_36	Total	NATL1A_P	8.544611023	0.016425737	0.009483404	0.040803794
P	NATL1A	42	3	3.41E+08	1.20E+07	6.93E+06	2.98E+07	NATL1A_P_42	Total	NATL1A_P	8.533034276	0.015419894	0.00890268	0.038305139
P	NATL1A	45	2	4.03E+08	3.21E+07	2.27E+07	2.89E+08	NATL1A_P_45	Total	NATL1A_P	8.604161826	0.034706456	0.024541171	0.311825137
P	NATL1A	48	3	3.62E+08	6.72E+06	3.88E+06	1.67E+07	NATL1A_P_48	Total	NATL1A_P	8.558132924	0.008091521	0.004671642	0.020100452
P	NATL1A	51	3	4.50E+08	7.87E+06	4.54E+06	1.96E+07	NATL1A_P_51	Total	NATL1A_P	8.65280809	0.007617961	0.004398232	0.018924065
PA	NATL1A	0	3	1.22E+07	1.36E+06	7.88E+05	3.39E+06	NATL1A_PA_0	Total	NATL1A_PA	7.084089766	0.049221559	0.02841808	0.12227313
PA	NATL1A	3	3	2.34E+07	6.75E+05	3.90E+05	1.68E+06	NATL1A_PA_3	Total	NATL1A_PA	7.369885984	0.012529154	0.007233711	0.031124145
PA	NATL1A	6	3	4.87E+07	4.72E+06	2.72E+06	1.17E+07	NATL1A_PA_6	Total	NATL1A_PA	7.685971613	0.041270382	0.023827466	0.102521312
PA	NATL1A	9	3	8.25E+07	6.79E+06	3.92E+06	1.69E+07	NATL1A_PA_9	Total	NATL1A_PA	7.915198737	0.036594402	0.021127788	0.090905534
PA	NATL1A	12	3	2.29E+08	4.87E+06	2.81E+06	1.21E+07	NATL1A_PA_12	Total	NATL1A_PA	8.359082516	0.009275192	0.005355035	0.023040854
PA	NATL1A	14	3	1.55E+08	1.44E+07	8.31E+06	3.57E+07	NATL1A_PA_14	Total	NATL1A_PA	8.188873276	0.041039877	0.023694384	0.101948706
PA	NATL1A	18	3	1.57E+08	1.34E+07	7.71E+06	3.32E+07	NATL1A_PA_18	Total	NATL1A_PA	8.194916579	0.036149634	0.020871001	0.08980067
PA	NATL1A	21	3	2.13E+08	4.53E+06	2.61E+06	1.12E+07	NATL1A_PA_21	Total	NATL1A_PA	8.3282857	0.009220149	0.005323255	0.022904119
PA	NATL1A	24	3	2.38E+08	3.65E+06	2.11E+06	9.07E+06	NATL1A_PA_24	Total	NATL1A_PA	8.376461426	0.006676263	0.003854542	0.016584756
PA	NATL1A	30	3	3.53E+08	2.15E+07	1.24E+07	5.35E+07	NATL1A_PA_30	Total	NATL1A_PA	8.54688193	0.02671349	0.015423041	0.066359988
PA	NATL1A	33	3	2.85E+08	1.00E+07	5.79E+06	2.49E+07	NATL1A_PA_33	Total	NATL1A_PA	8.455181499	0.015394915	0.008888258	0.038243088
PA	NATL1A	36	3	3.81E+08	1.40E+07	8.08E+06	3.48E+07	NATL1A_PA_36	Total	NATL1A_PA	8.580787998	0.016114982	0.009303989	0.040031834
PA	NATL1A	42	3	3.34E+08	1.89E+07	1.09E+07	4.70E+07	NATL1A_PA_42	Total	NATL1A_PA	8.523532861	0.025002909	0.014435436	0.062110669
PA	NATL1A	45	3	4.28E+08	1.52E+07	8.80E+06	3.79E+07	NATL1A_PA_45	Total	NATL1A_PA	8.631242251	0.015320808	0.008845472	0.038058996
PA	NATL1A	48	3	4.39E+08	1.32E+07	7.62E+06	3.28E+07	NATL1A_PA_48	Total	NATL1A_PA	8.641921136	0.012971982	0.007489377	0.03222419
PA	NATL1A	51	3	4.09E+08	1.42E+07	8.22E+06	3.54E+07	NATL1A_PA_51	Total	NATL1A_PA	8.611571959	0.014968509	0.008642073	0.037183838
PAC	NATL1A	0	3	1.23E+07	8.52E+05	4.92E+05	2.12E+06	NATL1A_PAC_0	Total	NATL1A_PAC	7.089548433	0.030464312	0.017588579	0.075677546
PAC	NATL1A	3	3	1.69E+07	2.23E+06	1.29E+06	5.53E+06	NATL1A_PAC_3	Total	NATL1A_PAC	7.225301765	0.0589702	0.034046461	0.146490099
PAC	NATL1A	6	3	1.38E+07	3.08E+05	1.78E+05	7.65E+05	NATL1A_PAC_6	Total	NATL1A_PAC	7.140313911	0.009738348	0.005622438	0.024191398
PAC	NATL1A	9	3	1.53E+07	1.49E+06	8.62E+05	3.71E+06	NATL1A_PAC_9	Total	NATL1A_PAC	7.181918867	0.043240105	0.024964686	0.107414375
PAC	NATL1A	12	3	1.73E+07	7.21E+05	4.16E+05	1.79E+06	NATL1A_PAC_12	Total	NATL1A_PAC	7.237351294	0.017916274	0.010343966	0.044506493
PAC	NATL1A	14	3	1.59E+07	7.69E+05	4.44E+05	1.91E+06	NATL1A_PAC_14	Total	NATL1A_PAC	7.199976342	0.021366813	0.012336135	0.053078106
PAC	NATL1A	18	3	1.51E+07	6.44E+05	3.72E+05	1.60E+06	NATL1A_PAC_18	Total	NATL1A_PAC	7.178901535	0.018750088	0.010825369	0.046577802
PAC	NATL1A	21	3	1.45E+07	5.41E+05	3.12E+05	1.34E+06	NATL1A_PAC_21	Total	NATL1A_PAC	7.162589341	0.016163569	0.009332041	0.04015253
PAC	NATL1A	24	3	1.45E+07	8.25E+05	4.76E+05	2.05E+06	NATL1A_PAC_24	Total	NATL1A_PAC	7.160296313	0.024378343	0.014074843	0.06055916
PAC	NATL1A	30	3	2.11E+07	1.44E+06	8.30E+05	3.57E+06	NATL1A_PAC_30	Total	NATL1A_PAC	7.32290459	0.030265134	0.017473583	0.07518276
PAC	NATL1A	33	3	3.01E+07	5.58E+06	3.22E+06	1.39E+07	NATL1A_PAC_33	Total	NATL1A_PAC	7.473172403	0.085692629	0.049474663	0.212872292
PAC	NATL1A	36	3	5.80E+07	1.12E+07	6.45E+06	2.77E+07	NATL1A_PAC_36	Total	NATL1A_PAC	7.757977503	0.088264802	0.050959707	0.219261923
PAC	NATL1A	42	3	1.03E+08	1.68E+07	9.68E+06	4.17E+07	NATL1A_PAC_42	Total	NATL1A_PAC	8.007434689	0.0745295	0.043029627	0.185141543
PAC	NATL1A	45	3	1.63E+08	3.40E+07	1.97E+07	8.46E+07	NATL1A_PAC_45	Total	NATL1A_PAC	8.204079338	0.09788871	0.056516073	0.243169036
PAC	NATL1A	48	3	1.87E+08	1.04E+07	6.00E+06	2.58E+07	NATL1A_PAC_48	Total	NATL1A_PAC	8.272146132	0.024017636	0.013866588	0.059663114
PAC	NATL1A	51	3	2.03E+08	3.31E+06	1.91E+06	8.23E+06	NATL1A_PAC_51	Total	NATL1A_PAC	8.308286701	0.007107457	0.004103492	0.017655901
PAR	NATL1A	0	3	9.96E+06	1.02E+06	5.89E+05	2.54E+06	NATL1A_PAR_0	Total	NATL1A_PAR	6.996860976	0.045701303	0.026385659	0.113528329
PAR	NATL1A	3	3	2.72E+07	1.65E+06	9.55E+05	4.11E+06	NATL1A_PAR_3	Total	NATL1A_PAR	7.433938274	0.02650819	0.015304511	0.065849995
PAR	NATL1A	6	3	5.36E+07	3.41E+06	1.97E+06	8.47E+06	NATL1A_PAR_6	Total	NATL1A_PAR	7.728574833	0.028015288	0.016174634	0.069593833
PAR	NATL1A	9	3	9.60E+07	5.05E+06	2.91E+06	1.25E+07	NATL1A_PAR_9	Total	NATL1A_PAR	7.981674337	0.022516402	0.012999851	0.055933844
PAR	NATL1A	12	3	2.28E+08	3.32E+07	1.92E+07	8.26E+07	NATL1A_PAR_12	Total	NATL1A_PAR	8.354247343	0.064521641	0.037251587	0.16028064
PAR	NATL1A	14	3	1.60E+08	9.54E+06	5.51E+06	2.37E+07	NATL1A_PAR_14	Total	NATL1A_PAR	8.203863004	0.025787144	0.014888214	0.064058816
PAR	NATL1A	18	3	1.16E+08	6.14E+06	3.55E+06	1.53E+07	NATL1A_PAR_18	Total	NATL1A_PAR	8.064355605	0.023002994	0.013280785	0.057142606
PAR	NATL1A	21	3	1.84E+08	1.32E+07	7.63E+06	3.28E+07	NATL1A_PAR_21	Total	NATL1A_PAR	8.265143325	0.031457399	0.018161938	0.07814451
PAR	NATL1A	24	3	1.80E+08	1.39E+07	8.05E+06	3.46E+07	NATL1A_PAR_24	Total	NATL1A_PAR	8.253241161	0.033067137	0.01909132	0.082143321
PAR	NATL1A	30	3	3.36E+08	6.67E+06	3.85E+06	1.66E+07	NATL1A_PAR_30	Total	NATL1A_PAR	8.526533465	0.008586094	0.004957184	0.02132904
PAR	NATL1A	33	3	2.27E+08	6.95E+06	4.01E+06	1.73E+07	NATL1A_PAR_33	Total	NATL1A_PAR	8.356002052	0.013234292	0.007640822	0.032875803
PAR	NATL1A	36	3	3.48E+08	7.63E+06	4.41E+06	1.90E+07	NATL1A_PAR_36	Total	NATL1A_PAR	8.542125842	0.009553277	0.005515587	0.023731655
PAR	NATL1A	42	3	4.14E+08	1.22E+07	7.04E+06	3.03E+07	NATL1A_PAR_42	Total	NATL1A_PAR	8.61739854	0.012727533	0.007348244	0.031616943
PAR	NATL1A	45	3	4.50E+08	1.02E+07	5.91E+06	2.54E+07	NATL1A_PAR_45	Total	NATL1A_PAR	8.653261751	0.009933171	0.005734919	0.024675364
PAR	NATL1A	48	3	4.75E+08	1.14E+07	6.56E+06	2.82E+07	NATL1A_PAR_48	Total	NATL1A_PAR	8.676606841	0.010356407	0.005979274	0.02572674
PAR	NATL1A	51	3	4.77E+08	1.51E+07	8.70E+06	3.74E+07	NATL1A_PAR_51	Total	NATL1A_PAR	8.67851303	0.013613365	0.00785968	0.033817473
PC	NATL1A	0	3	9.29E+06	3.20E+05	1.85E+05	7.95E+05	NATL1A_PC_0	Total	NATL1A_PC	6.967976244	0.014834035	0.008564434	0.036849786
PC	NATL1A	3	3	9.03E+06	7.92E+05	4.57E+05	1.97E+06	NATL1A_PC_3	Total	NATL1A_PC	6.954742904	0.038559663	0.022262432	0.095787512
PC	NATL1A	6	3	9.42E+06	9.11E+04	5.26E+04	2.26E+05	NATL1A_PC_6	Total	NATL1A_PC	6.974117737	0.004211888	0.002431735	0.010462909
PC	NATL1A	9	3	9.88E+06	4.24E+05	2.45E+05	1.05E+06	NATL1A_PC_9	Total	NATL1A_PC	6.994472208	0.018422766	0.010636389	0.045764687
PC	NATL1A	12	3	1.18E+07	2.61E+06	1.51E+06	6.49E+06	NATL1A_PC_12	Total	NATL1A_PC	7.066546608	0.091150164	0.052625572	0.22642956
PC	NATL1A	14	3	9.12E+06	5.39E+05	3.11E+05	1.34E+06	NATL1A_PC_14	Total	NATL1A_PC	6.959377836	0.025481929	0.014711998	0.06330062
PC	NATL1A	18	3	9.01E+06	7.28E+05	4.21E+05	1.81E+06	NATL1A_PC_18	Total	NATL1A_PC	6.953532011	0.035708243	0.020616164	0.088704194
PC	NATL1A	21	3	9.54E+06	5.27E+05	3.04E+05	1.31E+06	NATL1A_PC_21	Total	NATL1A_PC	6.979182111	0.024341682	0.014053677	0.06046809
PC	NATL1A	24	3	1.02E+07	5.41E+05	3.12E+05	1.34E+06	NATL1A_PC_24	Total	NATL1A_PC	7.006352841	0.023382885	0.013500115	0.058086306
PC	NATL1A	30	3	1.38E+07	8.47E+05	4.89E+05	2.10E+06	NATL1A_PC_30	Total	NATL1A_PC	7.138462201	0.027183735	0.015694536	0.06752814
PC	NATL1A	33	3	2.10E+07	1.58E+06	9.10E+05	3.91E+06	NATL1A_PC_33	Total	NATL1A_PC	7.322273683	0.033274188	0.019210861	0.082657665
PC	NATL1A	36	3	4.22E+07	2.36E+06	1.36E+06	5.86E+06	NATL1A_PC_36	Total	NATL1A_PC	7.625353509	0.02460195	0.014203942	0.061114631
PC	NATL1A	42	3	1.18E+08	2.14E+07	1.23E+07	5.31E+07	NATL1A_PC_42	Total	NATL1A_PC	8.068644092	0.081393052	0.046992301	0.202191551
PC	NATL1A	45	3	1.54E+08	9.15E+06	5.28E+06	2.27E+07	NATL1A_PC_45	Total	NATL1A_PC	8.188332144	0.026189288	0.015120392	0.065057797
PC	NATL1A	48	3	1.80E+08	4.89E+06	2.82E+06	1.21E+07	NATL1A_PC_48	Total	NATL1A_PC	8.255803928	0.011731828	0.006773374	0.029143476
PC	NATL1A	51	3	2.01E+08	9.85E+06	5.69E+06	2.45E+07	NATL1A_PC_51	Total	NATL1A_PC	8.303348482	0.021353454	0.012328423	0.053044922
PR	NATL1A	0	3	8.98E+06	6.39E+05	3.69E+05	1.59E+06	NATL1A_PR_0	Total	NATL1A_PR	6.952555589	0.031615109	0.018252992	0.078536285
PR	NATL1A	3	3	1.57E+07	4.17E+05	2.41E+05	1.04E+06	NATL1A_PR_3	Total	NATL1A_PR	7.194932844	0.011538658	0.006661847	0.028663615
PR	NATL1A	6	3	4.14E+07	3.42E+06	1.97E+06	8.50E+06	NATL1A_PR_6	Total	NATL1A_PR	7.61555498	0.036814856	0.021255067	0.091453173
PR	NATL1A	9	3	8.32E+07	2.77E+06	1.60E+06	6.89E+06	NATL1A_PR_9	Total	NATL1A_PR	7.919922001	0.014426462	0.008329122	0.03583732
PR	NATL1A	12	3	2.36E+08	2.93E+07	1.69E+07	7.27E+07	NATL1A_PR_12	Total	NATL1A_PR	8.36977896	0.056114824	0.032397909	0.13939695
PR	NATL1A	14	3	1.66E+08	1.45E+07	8.38E+06	3.61E+07	NATL1A_PR_14	Total	NATL1A_PR	8.219883979	0.037822524	0.021836844	0.093956359
PR	NATL1A	18	3	1.93E+08	7.57E+06	4.37E+06	1.88E+07	NATL1A_PR_18	Total	NATL1A_PR	8.286251169	0.016845165	0.009725561	0.04184571
PR	NATL1A	21	3	2.05E+08	2.65E+07	1.53E+07	6.58E+07	NATL1A_PR_21	Total	NATL1A_PR	8.309841621	0.057237591	0.033046139	0.142186059
PR	NATL1A	24	3	2.65E+08	1.29E+07	7.43E+06	3.20E+07	NATL1A_PR_24	Total	NATL1A_PR	8.42352315	0.020965127	0.012104222	0.052080264
PR	NATL1A	30	3	2.40E+08	7.47E+06	4.31E+06	1.86E+07	NATL1A_PR_30	Total	NATL1A_PR	8.380193782	0.013399429	0.007736164	0.033286027
PR	NATL1A	33	3	2.23E+08	1.33E+07	7.70E+06	3.31E+07	NATL1A_PR_33	Total	NATL1A_PR	8.347339981	0.026343018	0.015209149	0.065439685
PR	NATL1A	36	3	3.24E+08	3.90E+07	2.25E+07	9.70E+07	NATL1A_PR_36	Total	NATL1A_PR	8.508856156	0.050828089	0.029345611	0.126263973
PR	NATL1A	42	3	3.17E+08	9.71E+06	5.61E+06	2.41E+07	NATL1A_PR_42	Total	NATL1A_PR	8.501283581	0.013413279	0.00774416	0.033320432
PR	NATL1A	45	3	3.69E+08	1.51E+07	8.73E+06	3.76E+07	NATL1A_PR_45	Total	NATL1A_PR	8.566959477	0.017946579	0.010361462	0.044581775
PR	NATL1A	48	3	3.94E+08	1.79E+07	1.04E+07	4.46E+07	NATL1A_PR_48	Total	NATL1A_PR	8.594790069	0.019896928	0.011487497	0.049426709
PR	NATL1A	51	3	3.95E+08	3.90E+06	2.25E+06	9.68E+06	NATL1A_PR_51	Total	NATL1A_PR	8.597126703	0.004268983	0.002464699	0.010604742
PAC	NATL1A	0	3	1.26E+06	1.17E+05	6.74E+04	2.90E+05	NATL1A_PAC_0	pt	NATL1A_PAC	6.097673238	0.039418074	0.022758036	0.097919925
PAC	NATL1A	3	3	3.84E+07	9.16E+06	5.29E+06	2.28E+07	NATL1A_PAC_3	pt	NATL1A_PAC	7.576071058	0.108917676	0.062883649	0.270566506
PAC	NATL1A	6	3	2.39E+07	5.46E+06	3.15E+06	1.36E+07	NATL1A_PAC_6	pt	NATL1A_PAC	7.369999233	0.101207128	0.058431962	0.251412442
PAC	NATL1A	9	3	3.20E+07	1.09E+07	6.27E+06	2.70E+07	NATL1A_PAC_9	pt	NATL1A_PAC	7.484946136	0.167988438	0.09698817	0.417306413
PAC	NATL1A	12	3	9.52E+06	2.40E+06	1.38E+06	5.96E+06	NATL1A_PAC_12	pt	NATL1A_PAC	6.968511043	0.117881402	0.068058859	0.292833637
PAC	NATL1A	14	3	7.30E+06	1.98E+06	1.14E+06	4.91E+06	NATL1A_PAC_14	pt	NATL1A_PAC	6.851879369	0.124102894	0.071650839	0.308288679
PAC	NATL1A	18	3	2.41E+07	2.79E+06	1.61E+06	6.93E+06	NATL1A_PAC_18	pt	NATL1A_PAC	7.379292607	0.04991709	0.028819646	0.124000927
PAC	NATL1A	21	3	1.17E+07	1.48E+06	8.53E+05	3.67E+06	NATL1A_PAC_21	pt	NATL1A_PAC	7.067588612	0.053052586	0.030629925	0.13178993
PAC	NATL1A	24	3	1.23E+07	2.78E+05	1.60E+05	6.90E+05	NATL1A_PAC_24	pt	NATL1A_PAC	7.088995326	0.009760444	0.005635195	0.024246286
PAC	NATL1A	30	3	2.10E+07	1.50E+06	8.64E+05	3.72E+06	NATL1A_PAC_30	pt	NATL1A_PAC	7.321867413	0.030354912	0.017525417	0.075405781
PAC	NATL1A	33	3	2.18E+07	5.61E+06	3.24E+06	1.39E+07	NATL1A_PAC_33	pt	NATL1A_PAC	7.330531892	0.105559625	0.060944878	0.262224644
PAC	NATL1A	36	3	3.21E+07	9.84E+05	5.68E+05	2.44E+06	NATL1A_PAC_36	pt	NATL1A_PAC	7.506055014	0.013248989	0.007649307	0.032912314
PAC	NATL1A	42	3	1.21E+08	1.21E+07	6.98E+06	3.00E+07	NATL1A_PAC_42	pt	NATL1A_PAC	8.081950556	0.044699699	0.025807383	0.111040208
PAC	NATL1A	45	3	1.63E+08	2.18E+07	1.26E+07	5.40E+07	NATL1A_PAC_45	pt	NATL1A_PAC	8.20946889	0.05636282	0.03254109	0.140013008
PAC	NATL1A	48	3	1.27E+08	1.51E+07	8.74E+06	3.76E+07	NATL1A_PAC_48	pt	NATL1A_PAC	8.102301505	0.050219776	0.028994401	0.12475284
PAC	NATL1A	51	3	1.86E+08	5.41E+07	3.13E+07	1.35E+08	NATL1A_PAC_51	pt	NATL1A_PAC	8.255997924	0.141313897	0.081587617	0.351043182
PAR	NATL1A	0	3	6.07E+06	7.13E+05	4.12E+05	1.77E+06	NATL1A_PAR_0	pt	NATL1A_PAR	6.780980685	0.049942963	0.028834583	0.124065199
PAR	NATL1A	3	3	6.45E+07	1.14E+06	6.59E+05	2.84E+06	NATL1A_PAR_3	pt	NATL1A_PAR	7.809436467	0.007662617	0.004424014	0.019034997
PAR	NATL1A	6	3	8.10E+07	9.78E+06	5.65E+06	2.43E+07	NATL1A_PAR_6	pt	NATL1A_PAR	7.906538136	0.054341014	0.031373799	0.134990562
PAR	NATL1A	9	3	1.35E+08	8.47E+06	4.89E+06	2.11E+07	NATL1A_PAR_9	pt	NATL1A_PAR	8.129567365	0.026913765	0.01553867	0.066857499
PAR	NATL1A	12	3	4.90E+07	9.00E+06	5.20E+06	2.24E+07	NATL1A_PAR_12	pt	NATL1A_PAR	7.685029133	0.085021735	0.049087321	0.211205697
PAR	NATL1A	14	3	2.64E+07	4.44E+06	2.56E+06	1.10E+07	NATL1A_PAR_14	pt	NATL1A_PAR	7.417320872	0.070437803	0.040667284	0.174977202
PAR	NATL1A	18	3	5.04E+07	2.21E+06	1.27E+06	5.48E+06	NATL1A_PAR_18	pt	NATL1A_PAR	7.702131494	0.019078097	0.011014745	0.047392621
PAR	NATL1A	21	3	6.45E+07	2.67E+06	1.54E+06	6.64E+06	NATL1A_PAR_21	pt	NATL1A_PAR	7.80934525	0.017796321	0.010274711	0.044208511
PAR	NATL1A	24	3	4.53E+07	2.77E+07	1.60E+07	6.89E+07	NATL1A_PAR_24	pt	NATL1A_PAR	7.606773663	0.244331345	0.141064768	0.606952708
PAR	NATL1A	30	3	5.89E+07	6.02E+06	3.47E+06	1.49E+07	NATL1A_PAR_30	pt	NATL1A_PAR	7.768504973	0.04325911	0.024975659	0.107461586
PAR	NATL1A	33	3	3.46E+07	1.13E+07	6.53E+06	2.81E+07	NATL1A_PAR_33	pt	NATL1A_PAR	7.521788715	0.150451225	0.086863055	0.373741561
PAR	NATL1A	36	3	3.39E+07	5.55E+06	3.20E+06	1.38E+07	NATL1A_PAR_36	pt	NATL1A_PAR	7.525730544	0.071181889	0.041096883	0.176825616
PAR	NATL1A	42	3	2.53E+07	7.74E+06	4.47E+06	1.92E+07	NATL1A_PAR_42	pt	NATL1A_PAR	7.390673727	0.130307948	0.075233329	0.323702889
PAR	NATL1A	45	3	1.24E+07	1.75E+06	1.01E+06	4.34E+06	NATL1A_PAR_45	pt	NATL1A_PAR	7.089938831	0.061571571	0.035548363	0.152952263
PAR	NATL1A	48	3	9.35E+06	1.56E+06	9.03E+05	3.89E+06	NATL1A_PAR_48	pt	NATL1A_PAR	6.96687502	0.069794874	0.040296089	0.173380078
PAR	NATL1A	51	3	2.07E+06	5.56E+05	3.21E+05	1.38E+06	NATL1A_PAR_51	pt	NATL1A_PAR	6.304928826	0.128949149	0.074448826	0.320327444
PC	NATL1A	0	3	1.57E+06	4.09E+05	2.36E+05	1.02E+06	NATL1A_PC_0	pt	NATL1A_PC	6.184172517	0.123372677	0.071229248	0.306474719
PC	NATL1A	3	3	5.08E+07	1.94E+07	1.12E+07	4.83E+07	NATL1A_PC_3	pt	NATL1A_PC	7.680895457	0.187995361	0.108539172	0.467006366
PC	NATL1A	6	3	1.65E+07	2.17E+06	1.26E+06	5.40E+06	NATL1A_PC_6	pt	NATL1A_PC	7.215149599	0.058233502	0.033621128	0.144660037
PC	NATL1A	9	3	2.27E+07	2.74E+05	1.58E+05	6.80E+05	NATL1A_PC_9	pt	NATL1A_PC	7.355898058	0.005254389	0.003033623	0.013052625
PC	NATL1A	12	3	7.58E+06	1.49E+06	8.62E+05	3.71E+06	NATL1A_PC_12	pt	NATL1A_PC	6.873678673	0.088835689	0.051289309	0.220680085
PC	NATL1A	14	3	3.61E+06	4.75E+05	2.75E+05	1.18E+06	NATL1A_PC_14	pt	NATL1A_PC	6.555114439	0.056909407	0.032856661	0.141370804
PC	NATL1A	18	3	1.70E+07	4.41E+06	2.55E+06	1.10E+07	NATL1A_PC_18	pt	NATL1A_PC	7.221256514	0.106697	0.061601542	0.265050043
PC	NATL1A	21	3	1.23E+07	2.52E+06	1.45E+06	6.25E+06	NATL1A_PC_21	pt	NATL1A_PC	7.084114919	0.085154994	0.049164259	0.211536732
