gene_id	sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	up|down
NATL1A_869	P1	P4	1302.87455346332	22.3039901528663	662.589271808094	5.88055000380721	0.310643451382024	18.9302236298405	6.42888831972927e-80	1.21505989242883e-76	up
NATL1A_666	P1	P4	4824.01145150728	1792.2771951073	3308.14432330729	1.4289929652036	0.112927725501907	12.6540489401734	1.062544996745e-36	1.00410502192402e-33	up
NATL1A_652	P1	P4	27136.3332545333	10266.714207909	18701.5237312211	1.40217696819924	0.116515467237425	12.0342560644074	2.34740463845495e-33	1.47886492222662e-30	up
NATL1A_399	P1	P4	17377.2742380782	6925.56515473155	12151.4196964049	1.32701578371366	0.124746408324157	10.6377073419651	1.98964766374513e-26	9.40108521119576e-24	up
NATL1A_979	P1	P4	1736.82193990576	449.866761068784	1093.34435048727	1.94785853562601	0.19136548589107	10.1787348254365	2.46748510078112e-24	9.32709368095262e-22	up
NATL1A_978	P1	P4	6877.52772886924	1753.5524914734	4315.54011017132	1.9712377643407	0.206751835753166	9.53431807345156	1.5087385498239e-21	4.7525264319453e-19	up
NATL1A_1388	P1	P4	6779.19137734653	3114.24068973695	4946.71603354174	1.12200661626992	0.121561133039874	9.22997826864517	2.70686813513055e-20	7.30854396485249e-18	up
NATL1A_1680	P1	P4	756.058895160665	264.422829279386	510.240862220026	1.51838789198526	0.166759938159587	9.10523180053101	8.60824159954954e-20	2.03369707789358e-17	up
NATL1A_659	P1	P4	11486.0163325091	4092.03353918043	7789.02493584475	1.4887681408596	0.164506019210066	9.04993110895548	1.43058567184172e-19	3.00422991086761e-17	up
NATL1A_1089	P1	P4	2661.07398653234	908.234304856079	1784.65414569421	1.55045572394002	0.191008239327508	8.11721907598742	4.76987274295e-16	7.59573413235065e-14	up
NATL1A_621	P1	P4	2712.88035784782	891.621769119158	1802.25106348349	1.60427938714011	0.19885150598572	8.06772560855194	7.16197810716056e-16	1.04124143250257e-13	up
NATL1A_1305	P1	P4	466.339250418871	174.734941093249	320.53709575606	1.41994122639094	0.179295128501522	7.91957505069014	2.38323679906681e-15	3.00287836682418e-13	up
NATL1A_1311	P1	P4	1764.26714108306	816.562254583502	1290.41469783328	1.11184594287164	0.142763221015497	7.78804187074866	6.8055631235836e-15	8.03907143973312e-13	up
NATL1A_252	P1	P4	505.937913192164	182.124791412051	344.031352302107	1.47657966426893	0.190275552263095	7.76021746728267	8.47838791913328e-15	8.97210607258948e-13	up
NATL1A_1324	P1	P4	3015.77105804947	1505.39624728022	2260.58365266484	1.00163138857117	0.129089069879906	7.75922693922114	8.5448629262757e-15	8.97210607258948e-13	up
NATL1A_927	P1	P4	11953.6034895686	4759.985255241	8356.79437240479	1.32830469705559	0.174139483374681	7.62782036166719	2.38755934710814e-14	2.14880341239732e-12	up
NATL1A_1039	P1	P4	7283.75827710672	2766.80679578371	5025.28253644521	1.39620462865223	0.188064404431084	7.42407704890199	1.13569037757771e-13	9.33241223313856e-12	up
