gene_id	sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	up|down
NATL1A_244	P2	P4	71989.9904421187	17912.5676601654	44951.2790511421	2.00678419047878	0.0971730655189924	20.651650534649	9.43410396078334e-95	1.82644252680765e-91	up
S0430-3_41	P2	P4	9278.21899563111	1.03650643031262	4639.62775103071	13.0087779542822	0.729419398179947	17.8344282956304	3.81936246356579e-71	3.69714286473169e-68	up
S0430-3_26	P2	P4	31063.6130596322	0	15531.8065298161	17.605135896716	1.18233857168021	14.8900968964394	3.82215200293111e-50	2.46656209255821e-47	up
S0430-3_46	P2	P4	55281.7342861448	0.306579916571549	27641.0204330307	17.4749097318949	1.18477998576252	14.7494977480128	3.09962840212956e-49	1.5002201466307e-46	up
S0430-3_42	P2	P4	13724.1129423735	0	6862.05647118674	16.4265998004654	1.19510285155197	13.7449256180199	5.46291719695547e-43	2.10755152554394e-40	up
S0430-3_38	P2	P4	12180.4735985722	0	6090.23679928609	16.2544726485811	1.18369408973413	13.731987672788	6.53166795106591e-43	2.10755152554394e-40	up
S0430-3_53	P2	P4	11692.6047132492	0	5846.30235662459	16.1955203687039	1.18420360342253	13.6762971518549	1.4067607016486e-42	3.89069816913099e-40	up
S0430-3_9	P2	P4	9226.88216681206	0	4613.44108340603	15.8538519214179	1.18478663665219	13.381187321808	7.78930524163813e-41	1.67556610531238e-38	up
S0430-3_48	P2	P4	8767.29487980734	0	4383.64743990367	15.7801377356432	1.18359814967904	13.3323440391676	1.50106039805138e-40	2.90605293062748e-38	up
S0430-3_40	P2	P4	8630.14809851791	0	4315.07404925895	15.757354727232	1.18378899883089	13.3109487778599	1.99926645135028e-40	3.5187089543765e-38	up
S0430-3_30	P2	P4	8114.00630892746	0	4057.00315446373	15.6684160790424	1.18275356180308	13.2474055332002	4.67072700012837e-40	7.5354395602071e-38	up
S0430-3_10	P2	P4	7014.64271445886	0	3507.32135722943	15.458310904327	1.18886255654799	13.0026055738623	1.18244790318595e-38	1.76093780043693e-36	up
S0430-3_44	P2	P4	7118.42688042741	0	3559.2134402137	15.4794996675487	1.20013150595471	12.8981695678714	4.60915467595928e-38	6.37380246618369e-36	up
S0430-3_35	P2	P4	5610.14113161552	0	2805.07056580776	15.1360392474954	1.18302136548495	12.7943921294192	1.76225965525444e-37	2.27448979504839e-35	up
S0430-3_27	P2	P4	5497.08222169388	0	2748.54111084694	15.1066502606222	1.18288963826307	12.7709718404538	2.38162113869429e-37	2.8817615778201e-35	up
S0430-3_39	P2	P4	5014.05407177664	0	2507.02703588832	14.9739790830304	1.18440974840273	12.6425665638297	1.22973218485374e-36	1.40044794698638e-34	up
S0430-3_43	P2	P4	5078.67567862627	0	2539.33783931314	14.992375745762	1.19394933911995	12.5569613839836	3.64046953894354e-36	3.9155272374415e-34	up
S0430-3_36	P2	P4	4619.15307754743	0	2309.57653877372	14.8556242307814	1.18351882568064	12.552081055608	3.87198308692187e-36	3.94534697698986e-34	up
NATL1A_1116	P2	P4	3141.49897380185	1227.67102419332	2184.58499899759	1.35576419404173	0.10861880467491	12.4818552192638	9.37758611935589e-36	9.0775033635365e-34	up
S0430-3_51	P2	P4	4297.68411636076	0	2148.84205818038	14.7515191136854	1.18428446548019	12.4560606371747	1.29616740872531e-35	1.19494290632962e-33	up
S0430-3_33	P2	P4	4213.24925712034	0	2106.62462856017	14.7229257351853	1.18548792664313	12.419296227567	2.05360035501398e-35	1.80716831241231e-33	up
S0430-3_32	P2	P4	4091.07384613011	0	2045.53692306506	14.6804905780625	1.18312154254418	12.4082691846635	2.35692771871563e-35	1.98391828844933e-33	up
S0430-3_18	P2	P4	4025.9916641761	0	2012.99583208805	14.6573382306902	1.18304914032008	12.3894585027335	2.98049098235714e-35	2.40426272576809e-33	up
S0430-3_52	P2	P4	7223.32682720735	0.306579916571549	3611.81670356196	14.5388626887932	1.18270529881684	12.2928870812853	9.89093109091219e-35	7.36493945846385e-33	up
S0430-3_3	P2	P4	2779.96614035959	0	1389.98307017979	14.1230463706092	1.18340323645489	11.9342637704097	7.84499140492129e-33	5.23720805514745e-31	up
S0430-3_17	P2	P4	2673.14308810015	0	1336.57154405008	14.0664624471106	1.18422697034113	11.8781811252437	1.53674845529908e-32	9.91715003153007e-31	up
S0430-3_29	P2	P4	2497.28077489556	0	1248.64038744778	13.9684019372733	1.1843669978355	11.7939810572241	4.1924420206535e-32	2.6182476619307e-30	up
S0430-3_16	P2	P4	2469.18002649822	0	1234.59001324911	13.9519653414623	1.18422420765728	11.7815235081734	4.86064924129679e-32	2.94069279098456e-30	up
S0430-3_8	P2	P4	2260.72988332205	0	1130.36494166103	13.8248829995161	1.189228808187	11.6250824940849	3.0729638730925e-31	1.80280547221427e-29	up
S0430-3_34	P2	P4	2121.0310422909	0	1060.51552114545	13.7328228266033	1.1847751369629	11.5910795206309	4.57331855486092e-31	2.60410138888551e-29	up
S0430-3_6	P2	P4	1978.85393141201	0	989.426965706003	13.6326159343708	1.18455128967226	11.5086751018968	1.19297054815487e-30	6.59883137493667e-29	up
