gene_id	sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	up|down
S0430-3_26	P3	P5	21752.9574978386	0	10876.4787489193	15.7859623269653	1.40450247031576	11.2395404498052	2.6073608422395e-29	5.09565220601674e-26	up
S0430-3_53	P3	P5	22596.3401607058	0	11298.1700803529	15.8404275209016	1.42193825941068	11.1400248330519	8.00970118019909e-29	1.12568594459386e-25	up
S0430-3_46	P3	P5	23219.6185528722	0	11609.8092764361	15.8795147643036	1.42808230807829	11.1194674666001	1.00872283603583e-28	1.12568594459386e-25	up
S0430-3_38	P3	P5	11815.7231461139	0	5907.86157305695	14.9064779699481	1.3634686058161	10.9327621526173	8.0364292926322e-28	5.88969811783782e-25	up
S0430-3_41	P3	P5	10019.6472282852	0	5009.8236141426	14.6687714910034	1.35626423376289	10.8155705398981	2.90479554316081e-27	1.80597923365635e-24	up
S0430-3_30	P3	P5	12715.252497013	0	6357.62624850651	15.0117136867794	1.38866320174923	10.8101904535743	3.08029888053276e-27	1.80597923365635e-24	up
S0430-3_9	P3	P5	10252.3312339603	0	5126.16561698016	14.7017549224428	1.36225146891155	10.7922474359229	3.74516984331316e-27	1.99617552648591e-24	up
S0430-3_48	P3	P5	9921.17966851928	0	4960.58983425964	14.6544527882304	1.3593941450106	10.7801352845434	4.27256931199966e-27	2.0875061563545e-24	up
S0430-3_52	P3	P5	19814.3680681084	0	9907.18403405418	15.6500813202538	1.45514428333344	10.7550031289012	5.61321150161826e-27	2.53155838722984e-24	up
S0430-3_35	P3	P5	7605.781617773	0	3802.8908088865	14.2714565507233	1.34295907335641	10.6268737699171	2.23478473703747e-26	8.7350286088338e-24	up
S0430-3_39	P3	P5	7916.24688662697	0	3958.12344331349	14.3289581737343	1.35145195229875	10.6026397382175	2.89686024580931e-26	1.06151822632375e-23	up
S0430-3_40	P3	P5	10517.4301573416	0	5258.71507867078	14.737808865418	1.39232784212528	10.585013399518	3.49730710348156e-26	1.20615950280661e-23	up
S0430-3_51	P3	P5	7424.82965110498	0	3712.41482555249	14.2361972244172	1.36406264175322	10.4366154373376	1.68719213904356e-25	5.20631974274338e-23	up
