gene_id	sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	up|down
R8W_44	P4	P5	125.155653933815	0	62.5778269669077	9.43606678133001	1.47432689272438	6.40025412810133	1.55118553939695e-10	6.19304000347667e-10	up
R8W_22	P4	P5	59.5412551411121	0	29.770627570556	8.36404891837834	1.46317432365837	5.71637212541137	1.0882229114049e-08	2.9283648175263e-08	up
R8W_45	P4	P5	66.2692552271174	0	33.1346276135587	8.51877226246078	1.53909970308405	5.53490605279882	3.11395219218906e-08	7.64129535878233e-08	up
R8W_33	P4	P5	38.9859083591189	0	19.4929541795595	7.75307335675603	1.74849580387472	4.43413895508069	9.24409924615495e-06	1.63314705895534e-05	up
R8W_42	P4	P5	42.4577962124627	0	21.2288981062314	7.87625549122917	1.79098112395885	4.39773227415106	1.09387793554429e-05	1.91831392010216e-05	up
R8W_36	P4	P5	39.9976555225152	0	19.9988277612576	7.79017313702186	1.8275517864389	4.26262784717116	2.02036838293799e-05	3.44663846989028e-05	up
R8W_25	P4	P5	44.4278765815902	0.608193581294665	22.5180350814424	6.12544996249147	1.5169539626079	4.03799331652807	5.39103887065777e-05	9.00649531425568e-05	up
R8W_5	P4	P5	37.1327836803542	0	18.5663918401771	7.68266783227426	1.93695771563561	3.96635805224751	7.29792053231617e-05	0.000121623497184821	up
EZ55_13_39	P4	P5	42.3131908625724	145930.400180763	72986.3566858129	-11.7441457141281	0.307782885546843	-38.15724091761	0	0	down
EZ55_31_52	P4	P5	2.710554661333	16867.4615953165	8435.08607498893	-12.6103090566934	0.614208251034314	-20.5309991122032	1.13810623048299e-93	2.71039998789525e-90	down
EZ55_17_27	P4	P5	1.69162908330267	54258.6299933555	27130.1608112194	-14.9751898007554	0.797542220231852	-18.7766734109725	1.17196503154284e-78	1.86068981507952e-75	down
EZ55_14_34	P4	P5	1.96979167994249	59494.4531988226	29748.2114952512	-14.8565976397421	0.794576207198221	-18.6975113339077	5.18697234712591e-78	6.17638732234018e-75	down
EZ55_43_107	P4	P5	5.29396338872222	1536.66195095103	770.977957169876	-8.16080731050933	0.44040523834518	-18.5302230763047	1.17797586314866e-76	1.12213980723542e-73	down
EZ55_60_35	P4	P5	7.10197078401761	16616.3797522603	8311.74086152216	-11.1957680109186	0.606875666327385	-18.4482071569482	5.39039074491729e-76	4.27907185300685e-73	down
EZ55_23_18	P4	P5	1.72296691587399	10011.5550975477	5006.63903223179	-12.5364417855109	0.680705318634056	-18.4168412414747	9.62595082124944e-76	6.54977196594444e-73	down
EZ55_60_308	P4	P5	9.04939764968134	2575.93389642227	1292.49164703598	-8.14953882492073	0.494459630467419	-16.4817071460756	4.96624993130867e-61	2.9567810528529e-58	down
EZ55_12_46	P4	P5	2.00112951251381	36382.2254439832	18192.1132867479	-14.1412181904554	0.866356499239921	-16.3226318528941	6.81337472335849e-60	3.6057893119285e-57	down
EZ55_18_53	P4	P5	2.64608439253186	11235.8317573112	5619.23892085188	-12.0366130721118	0.77156044487412	-15.6003501113585	7.23960053113612e-55	3.44822173298013e-52	down
EZ55_39_105	P4	P5	2.03246734508513	9470.1650727533	4736.09877004919	-12.1914896499952	0.799252788882179	-15.2536091454194	1.55779086688444e-52	6.74523445360964e-50	down
EZ55_4_150	P4	P5	2.40105423212187	8484.40210662389	4243.401580428	-11.803651266806	0.78993071018391	-14.9426413160439	1.73941705086181e-50	6.90403617771234e-48	down
EZ55_4_232	P4	P5	1.04487959962611	9588.97537338522	4795.01012649243	-13.2098944251689	0.89036630252973	-14.8364716719811	8.51165607044205e-50	3.11853983565504e-47	down
EZ55_20_54	P4	P5	1.01713097437182	5674.37165316039	2837.69439206738	-12.4552084349145	0.879775610675176	-14.1572558772752	1.6844430881242e-45	5.64615963658558e-43	down
EZ55_17_30	P4	P5	6.21528626172157	12382.1435466628	6194.17941646228	-10.9472868987499	0.77347122133684	-14.1534508288867	1.77813131532193e-45	5.64615963658558e-43	down
EZ55_21_20	P4	P5	1.72296691587399	10859.9869357401	5430.85495132797	-12.6443776159029	0.900785051554338	-14.0370642186885	9.24643729450896e-45	2.75254880210913e-42	down
EZ55_43_57	P4	P5	3.20240958581148	7310.36304113192	3656.78272535886	-11.1196876023895	0.796673369859158	-13.9576494245758	2.82601478868604e-44	7.91782849324211e-42	down
EZ55_4_151	P4	P5	2.03246734508513	4800.78718390632	2401.4098256257	-11.2110040680343	0.828067462696119	-13.5387568925027	9.23382973185545e-42	2.44337394515708e-39	down
EZ55_39_19	P4	P5	4.12402114799587	4460.19640202257	2232.16021158528	-10.0922273726458	0.750424690464356	-13.4486877909105	3.13384213248657e-41	7.856047408965e-39	down
EZ55_19_122	P4	P5	0.615411651105241	10739.4828244659	5370.04911805849	-13.9643475418124	1.04425852459068	-13.3725004038497	8.75475999072386e-41	2.08494609179089e-38	down
EZ55_70_10	P4	P5	10.2488831193205	8723.58162244857	4366.91525278395	-9.72749754990045	0.740756708350048	-13.1318386188731	2.16339256736056e-39	4.90678038016112e-37	down
EZ55_19_24	P4	P5	2.61833576727756	12602.2500385647	6302.43418716598	-12.2127990431205	0.931208125851454	-13.115004802985	2.70165118781634e-39	5.84907482162237e-37	down
EZ55_31_109	P4	P5	1.35617463249576	1689.51905785084	845.437616241666	-10.2914509356377	0.792055586050273	-12.9933443017021	1.33464973735793e-38	2.76388552131991e-36	down
EZ55_59_23	P4	P5	0.737173774073494	7032.4601347128	3516.59865424344	-13.3492071141503	1.03091911291227	-12.9488404540681	2.38529734486343e-38	4.73382135566022e-36	down
EZ55_4_101	P4	P5	2.39925962846336	7323.70691548938	3663.05308755892	-11.5894928811523	0.91084653970309	-12.7238699121919	4.35733395223425e-37	8.3015926457967e-35	down
EZ55_2_139	P4	P5	0	55050.1654889409	27525.0827444705	-18.1730637055857	1.45891260293379	-12.4565814765331	1.28773225541857e-35	2.35902643559948e-33	down
EZ55_2_4	P4	P5	1.38392325775005	7206.83079369197	3604.10735847486	-12.3735906647905	0.994939425744404	-12.4365266312899	1.6554743130509e-35	2.92037931594869e-33	down
EZ55_19_123	P4	P5	0	12624.6614740149	6312.33073700744	-16.0485993336496	1.29600450371855	-12.3831354656579	3.22492953356658e-35	5.48583548870629e-33	down
EZ55_60_319	P4	P5	3.0146712795686	855.732934649104	429.373802964336	-8.14387676737784	0.661511389665104	-12.3110151912891	7.90228869946194e-35	1.29788279570818e-32	down
EZ55_31_53	P4	P5	0	5196.39463327226	2598.19731663613	-14.7679785935729	1.20356387890995	-12.2702075497214	1.30917328387996e-34	2.07853078370674e-32	down
EZ55_21_38	P4	P5	1.07621743219743	6509.13220718442	3255.10421230831	-12.633694204663	1.0321283331576	-12.2404296043425	1.89029430620519e-34	2.90434573563076e-32	down
EZ55_60_328	P4	P5	19.8910389166433	12749.9783951221	6384.93471701936	-9.31877766915139	0.770316093582928	-12.0973425672667	1.09085539568914e-33	1.62367007802106e-31	down
EZ55_20_45	P4	P5	0.954455309229181	2252.52096800094	1126.73771165508	-11.130750258481	0.920375502798415	-12.0937054763385	1.1402544009939e-33	1.64576718543453e-31	down
EZ55_4_178	P4	P5	0	8796.34206595903	4398.17103297952	-15.5273408451287	1.28499351780728	-12.0835946874072	1.28956183640801e-33	1.8065244196504e-31	down
EZ55_49_13	P4	P5	0	3923.05105327485	1961.52552663743	-14.3623128858516	1.19913820290901	-11.977195665195	4.67884283940353e-33	6.36723669830829e-31	down
EZ55_75_11	P4	P5	0.615411651105241	5853.46586597922	2927.04063881516	-13.094363069488	1.09378407655425	-11.9716161079426	5.00442429058355e-33	6.4498158654863e-31	down
EZ55_42_70	P4	P5	1.07621743219743	3264.33156469721	1632.7038910647	-11.6434168943635	0.972593202665548	-11.9715178580858	5.01035454593729e-33	6.4498158654863e-31	down
EZ55_12_45	P4	P5	0	5871.25354214973	2935.62677107487	-14.9441288702479	1.24989941836077	-11.9562651607974	6.02095550500534e-33	7.5467923869317e-31	down
EZ55_65_83	P4	P5	0	5069.92792780979	2534.9639639049	-14.7324080248705	1.2375850018974	-11.9041585040894	1.12593368546028e-32	1.37508260098649e-30	down
EZ55_6_5	P4	P5	3.2910392725499	4383.26035075086	2193.27569501171	-10.3655830936564	0.871505264557108	-11.8938846559052	1.27342867679938e-32	1.51633519689886e-30	down
EZ55_75_12	P4	P5	0.707630545160686	6856.41985626278	3428.56374340397	-13.3064553499584	1.12597003675933	-11.8177703806896	3.15959064463127e-32	3.67051957082408e-30	down
EZ55_12_44	P4	P5	0	4597.46290933441	2298.73145466721	-14.5913208459153	1.23955423329201	-11.7714259320172	5.47904799692686e-32	6.21350133556254e-30	down
EZ55_42_81	P4	P5	0	3499.70240734056	1749.85120367028	-14.1975934029371	1.2068267635642	-11.764400518436	5.95478138698555e-32	6.59595901074702e-30	down
EZ55_18_185	P4	P5	2.58340872738922	1197.26951765931	599.926463193348	-8.81854622359096	0.750205883263206	-11.7548347997919	6.66910563225064e-32	7.21930684691132e-30	down
EZ55_31_57	P4	P5	0	4480.5948180403	2240.29740902015	-14.5541772220041	1.24358654966527	-11.7033890611969	1.22462919016133e-31	1.29620196283076e-29	down
EZ55_70_12	P4	P5	35.3989583847977	19798.1475261971	9916.77324229097	-9.1249687855648	0.780582315658583	-11.6899506977249	1.43469874028679e-31	1.48553697825782e-29	down
EZ55_14_59	P4	P5	1.38571786140857	5358.35340687098	2679.86956236619	-11.9430809079046	1.02451305231171	-11.6573243073441	2.1055544600301e-31	2.13377784960071e-29	down
EZ55_28_95	P4	P5	7.13510322024745	16529.0473292497	8268.09121623499	-11.1806092859828	0.959408385207738	-11.6536497474555	2.19837489686774e-31	2.18142909037105e-29	down
EZ55_39_107	P4	P5	1.01713097437182	5551.0357425424	2776.02643675838	-12.4203391636068	1.07168715822211	-11.5895194491382	4.65738190019141e-31	4.52716530420646e-29	down
EZ55_30_38	P4	P5	0	3568.50125584756	1784.25062792378	-14.2256238731163	1.24453002414419	-11.4305188281003	2.94344830389486e-30	2.80392885429024e-28	down
EZ55_14_38	P4	P5	6.80294928757252	3617.27407416604	1812.03851172681	-9.03869207314336	0.791068695221172	-11.4259256215622	3.10331209183124e-30	2.89825009674356e-28	down
EZ55_30_89	P4	P5	2.82872757698423	3873.51603765694	1938.17238261696	-10.4520135293335	0.915760180558691	-11.4134833018803	3.58096034408302e-30	3.28002194593604e-28	down
EZ55_6_40	P4	P5	0	3680.4119779318	1840.2059889659	-14.2701809662612	1.25357126967389	-11.3836215869669	5.0459819126264e-30	4.53471921695086e-28	down
EZ55_43_58	P4	P5	0.64674948367656	6174.5535918611	3087.60017067239	-13.1698152538356	1.15838339143281	-11.3691333553616	5.95761619262698e-30	5.25483813434858e-28	down
EZ55_31_7	P4	P5	2.31062994172494	2465.30587122817	1233.80825058495	-10.0423009557944	0.883906562116523	-11.3612698289602	6.51901030461833e-30	5.64546292379948e-28	down
EZ55_29_4	P4	P5	0.339043658123939	4372.65310239002	2186.49607302407	-13.5571954703914	1.19859604512521	-11.3108962152258	1.15899586017943e-29	9.85767371791893e-28	down
EZ55_60_137	P4	P5	0.678087316247879	2367.02086037521	1183.84947384573	-11.7792662670038	1.04554777800471	-11.2661195545582	1.9288467982465e-29	1.61177145614879e-27	down
EZ55_13_123	P4	P5	2.33658396332072	3078.00677870656	1540.17168133494	-10.3579536211592	0.919697111208515	-11.262353110524	2.01310382779938e-29	1.65317474686352e-27	down
EZ55_2_134	P4	P5	1.9993349088553	3741.13565928467	1871.56749709676	-10.862154118937	0.965639554084976	-11.2486632025236	2.35128596019157e-29	1.89816525904957e-27	down
EZ55_60_316	P4	P5	2.58699793470624	3039.46022987116	1521.02361390293	-10.1691121590636	0.906349026863993	-11.2198632730364	3.25773726149577e-29	2.58610042941739e-27	down
EZ55_17_34	P4	P5	0	16818.4402328532	8409.22011642659	-16.4623640149043	1.4710113959688	-11.1911872742918	4.50362379200883e-29	3.51651805267837e-27	down
EZ55_15_12	P4	P5	0	4111.79761266851	2055.89880633426	-14.4301000465974	1.2930148478034	-11.160042029766	6.39613285229971e-29	4.9136743186296e-27	down
EZ55_43_32	P4	P5	0	4943.20409604537	2471.60204802268	-14.6957943814716	1.32501374064691	-11.0910505534054	1.3864980166498e-28	1.04168406099811e-26	down
EZ55_21_18	P4	P5	0	3508.09552313497	1754.04776156749	-14.2010030615408	1.28049985818171	-11.0902027601206	1.39970144664874e-28	1.04168406099811e-26	down
EZ55_42_55	P4	P5	1.93845384737117	2309.55423672242	1155.74634528489	-10.1837103183405	0.921341668467765	-11.0531311747535	2.11699792902743e-28	1.55127094399348e-26	down
EZ55_52_47	P4	P5	0	2169.68586966763	1084.84293483381	-13.5079997258031	1.22383934913191	-11.0373961544745	2.52236916589834e-28	1.82030974805663e-26	down
EZ55_15_11	P4	P5	0.923117476657862	1742.15099169197	871.537054584314	-10.7717917287324	0.977786399042061	-11.0165080423347	3.18163478120966e-28	2.25073749287564e-26	down
EZ55_70_119	P4	P5	0.368586887036747	11710.1322201297	5855.25040350835	-14.9782717554295	1.35973075872652	-11.0156158925593	3.21331407758857e-28	2.25073749287564e-26	down
EZ55_21_115	P4	P5	0	1801.2113534365	900.605676718252	-13.2395539933735	1.20332118841229	-11.0025104858681	3.71638944730841e-28	2.56538593297536e-26	down
EZ55_14_110	P4	P5	0.339043658123939	5701.4623565002	2850.90070007916	-13.9399111592847	1.26736547223913	-10.9991249285467	3.85858055658524e-28	2.62548845585936e-26	down
EZ55_49_55	P4	P5	6.37556463189519	4841.22802275567	2423.80179369378	-9.56664595527728	0.876004775980883	-10.9207691756763	9.17157689018183e-28	6.15270714477973e-26	down
EZ55_65_76	P4	P5	0	3966.62080434437	1983.31040217218	-14.3782445997946	1.31684071458302	-10.9187424420937	9.37853231892295e-28	6.20415964375417e-26	down
EZ55_49_39	P4	P5	0.307705825552621	2985.55429751226	1492.93100166891	-13.0066691059479	1.19182911474985	-10.9131996734933	9.96847451325522e-28	6.50408823378556e-26	down
EZ55_60_246	P4	P5	0	2555.93294031614	1277.96647015807	-13.7441239002187	1.26096722871386	-10.8996678004369	1.15678850741434e-27	7.44565359569527e-26	down
EZ55_43_212	P4	P5	1.01713097437182	1238.46682906122	619.741980017796	-10.257865784286	0.948035332496903	-10.8201302553452	2.76384299789701e-27	1.73677612805599e-25	down
EZ55_21_108	P4	P5	0.64674948367656	3734.62062908303	1867.63368928335	-12.4440695668988	1.15011110462782	-10.8198847196817	2.77125731119579e-27	1.73677612805599e-25	down
EZ55_39_97	P4	P5	0	1473.06401592039	736.532007960193	-12.949104132375	1.19923401597837	-10.797812570227	3.52501305277643e-27	2.18047235978885e-25	down
EZ55_43_38	P4	P5	7.63083604122798	10580.7101867556	5294.17051139839	-10.4447484698782	0.968316859030303	-10.7864986264287	3.98691223525589e-27	2.43457217647741e-25	down
EZ55_41_38	P4	P5	0	1812.44965156692	906.22482578346	-13.2481700629499	1.22893722789085	-10.7801845059953	4.27028364759309e-27	2.57460265993492e-25	down
EZ55_70_27	P4	P5	0.923117476657862	2759.1318574073	1380.02748744198	-11.4452466549317	1.06380025057622	-10.758830568739	5.38491567816012e-27	3.20604417188458e-25	down
EZ55_6_44	P4	P5	0	1481.45550788806	740.727753944028	-12.9571653257184	1.20497150113374	-10.753088611247	5.73098203433909e-27	3.36995894192063e-25	down
EZ55_35_11	P4	P5	0	4659.02609768257	2329.51304884128	-14.6104806569134	1.35923177803636	-10.7490723017238	5.98606303201685e-27	3.47702661237759e-25	down
EZ55_37_3	P4	P5	1.32483679992444	1625.04700713799	813.185921968958	-10.2425873982728	0.956608933954458	-10.7071835048955	9.41836787501993e-27	5.40478146852047e-25	down
EZ55_70_26	P4	P5	0	2610.91359040752	1305.45679520376	-13.7748980074281	1.28802735937292	-10.6945694182571	1.07919732641176e-26	6.063447206271e-25	down
EZ55_43_105	P4	P5	0	2194.48131761334	1097.24065880667	-13.5241366637225	1.26460902714124	-10.694322413857	1.08207644873616e-26	6.063447206271e-25	down
EZ55_4_214	P4	P5	2.86336592768754	8582.74212850986	4292.80274721878	-11.521209717755	1.08196305138226	-10.6484317584007	1.77327171974538e-26	9.8210386059852e-25	down
