gene_id	sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	up|down
NATL1A_621	P1	P6	2705.14240043871	914.297652248427	1809.72002634357	1.56401324156797	0.162322393033424	9.63522784712719	5.67659253054941e-22	8.84486958113654e-21	up
NATL1A_869	P1	P6	1298.4644522258	216.787138719614	757.625795472705	2.58177897082236	0.310202567934058	8.32288071635561	8.58508320862489e-17	7.91024613910077e-16	up
NATL1A_659	P1	P6	11449.751215887	4573.79732349216	8011.77426968957	1.32386745512808	0.163455555148851	8.09925030643647	5.52989012041377e-16	4.7207280248432e-15	up
NATL1A_978	P1	P6	6855.5619886109	2387.45942812874	4621.51070836982	1.52181185671733	0.212134450634101	7.17380817763644	7.29397930814079e-13	3.7679006318199e-12	up
NATL1A_927	P1	P6	11913.0819530317	5173.14092825528	8543.11144064352	1.20339653078221	0.191221425537765	6.29320970387051	3.10967779564898e-10	9.56612760090093e-10	up
NATL1A_666	P1	P6	4811.18213114002	2359.32422579345	3585.25317846673	1.02811727587272	0.163458918278992	6.2897594496369	3.17958282128334e-10	9.77332875218850e-10	up
NATL1A_928	P1	P6	1533.62945647516	668.97368099935	1101.30156873726	1.19627930779103	0.202208643653537	5.91606415124728	3.29736646568032e-09	8.30407730811607e-09	up
NATL1A_1785	P1	P6	180.743301311249	71.7873347556301	126.26531803344	1.32376262317231	0.261042802278218	5.07105582540235	3.9561469180388e-07	7.81093927914659e-07	up
NATL1A_979	P1	P6	1731.14407148982	671.906778030549	1201.52542476018	1.36539862676193	0.27641467524647	4.93967487632286	7.82529364769149e-07	1.51181202377023e-06	up
NATL1A_58	P1	P6	199.910707057171	94.4397166150111	147.175211836091	1.08217658079356	0.220979064877687	4.89719051618104	9.72165741724175e-07	1.86969959258844e-06	up
NATL1A_810	P1	P6	128.59671039374	57.8214513982213	93.2090808959808	1.14686670181343	0.278379989918586	4.11978857441887	3.79220209463504e-05	6.77014933802334e-05	up
NATL1A_1039	P1	P6	7256.9225121956	3575.51017781739	5416.21634500649	1.02113165581278	0.250438532812385	4.07737437344658	4.55471246112807e-05	8.10878442336456e-05	up
NATL1A_1100	P1	P6	171.09273873882	25.5035886450877	98.298163691954	2.74491318014675	0.698575969780757	3.92929802754055	8.51941988293751e-05	0.00014986203034098	up
NATL1A_726	P1	P6	129.433785495469	49.4673538586581	89.4505696770634	1.3803469129288	0.387835094042518	3.55910781188222	0.000372116763920127	0.000630837486114926	up
NATL1A_1386	P1	P6	107.584399969548	41.4370707107853	74.5107353401665	1.37308438245531	0.386854526877164	3.54935586133466	0.000386174816471935	0.000652936952596792	up
NATL1A_70	P1	P6	950.460246449195	463.709064653402	707.084655551298	1.03374674118555	0.299187582252587	3.45517930056609	0.000549926979084719	0.000920467297306432	up
NATL1A_1269	P1	P6	61.2384835982947	26.7620198505119	44.0002517244033	1.18615091768875	0.407591737204906	2.91014466049503	0.0036126150311051	0.00568905234766879	up
NATL1A_1212	P1	P6	61.4226815881468	30.6081630411138	46.0154223146303	1.01549962956844	0.371140905268408	2.7361565786828	0.00621614403370572	0.00959584377011438	up
NATL1A_610	P1	P6	30.4366172801294	10.9489007122302	20.6927589961798	1.48346353692199	0.555094252439315	2.6724534264281	0.00752988261557423	0.011503403772617	up
NATL1A_478	P1	P6	82.5202097323359	39.7321957039232	61.1262027181295	1.04821882931226	0.417238940885724	2.51227468626748	0.0119955677939295	0.0178837072555938	up
EZ55_13_39	P1	P6	73.3197215312946	18801.7054583813	9437.51258995632	-7.99379679918478	0.147706807200092	-54.119352727975	0	0	down
EZ55_60_328	P1	P6	55.9797179797224	3658.02688906422	1857.00330352197	-6.04384582359375	0.205116378135692	-29.4654472671876	7.98291226161664e-191	1.52992513493883e-187	down
EZ55_17_30	P1	P6	17.5782757395024	2315.39411997007	1166.48619785479	-7.06022473714578	0.275772482955476	-25.6016287828314	1.46314464945008e-144	1.86941114711405e-141	down
EZ55_39_105	P1	P6	6.17961515907518	1778.13600072303	892.157807941052	-8.11703743002623	0.32676494213311	-24.8406006379953	3.2673123752002e-136	3.13090208353559e-133	down
EZ55_43_26	P1	P6	6.22705208256344	1322.88148218917	664.554267135868	-7.63278583446649	0.323647380197771	-23.5836478262309	5.67238217195384e-123	4.34844817301981e-120	down
EZ55_18_52	P1	P6	4.79332065091375	1714.32079666691	859.557058658911	-8.35126658852399	0.372320060258431	-22.4303428150696	1.9909703267882e-111	1.27189821042986e-108	down
EZ55_28_21	P1	P6	13.413338272616	1746.88545508637	880.149396679495	-7.01982343541129	0.338929610426965	-20.7117443252246	2.71447180603262e-95	1.48636720464614e-92	down
EZ55_31_119	P1	P6	3.29911348686174	2105.04108135176	1054.17009741931	-9.10356496902474	0.451462479215428	-20.1646103234212	2.00318568556209e-90	9.59776341594935e-88	down
EZ55_4_120	P1	P6	9.90142644517411	1243.98119313285	626.941309789011	-7.04181037705834	0.35511408912391	-19.8297127394493	1.64979240474904e-87	7.02628254155896e-85	down
EZ55_21_20	P1	P6	3.48596229889172	1325.5518191964	664.518890747647	-8.62739255824084	0.437379456240155	-19.7251892725015	1.31065947684778e-86	5.02375777475756e-84	down
EZ55_14_34	P1	P6	3.03585125159229	2281.15468146824	1142.09526635991	-9.53717063704966	0.484981311001578	-19.6650271272384	4.29937436079845e-86	1.49813653863095e-83	down
EZ55_70_119	P1	P6	3.19964941699518	1436.6517230549	719.925686235948	-8.74970860182104	0.455207391933606	-19.2213675719423	2.45220956030089e-82	7.83276603719442e-80	down
EZ55_2_4	P1	P6	3.69876063947184	1071.24871843755	537.473739538512	-8.20125574345082	0.43052870480595	-19.0492658257185	6.66300995750572e-81	1.96456285900919e-78	down
EZ55_34_26	P1	P6	4.4198506483087	1000.56447502288	502.492162835594	-7.8873001856574	0.421502619616035	-18.7123396595786	3.9274845432681e-78	1.07528916102476e-75	down
EZ55_43_38	P1	P6	7.01320804669268	1274.95496850308	640.984088274886	-7.47814397311933	0.405275836635956	-18.4519857763853	5.02637157734152e-76	1.28440548373e-73	down
EZ55_4_150	P1	P6	3.03814636303731	1146.66009223864	574.84911930084	-8.546315165771	0.463417702531331	-18.4419264069723	6.05452101178778e-76	1.45043618988641e-73	down
EZ55_14_31	P1	P6	14.8929433760649	1489.47863538862	752.185789382342	-6.61766292609629	0.363125698576072	-18.2241657697216	3.31898629017854e-74	7.48333791191431e-72	down
EZ55_18_53	P1	P6	2.59877901320695	1526.77950740048	764.689143206843	-9.24464532964882	0.518950281281265	-17.8141252892747	5.49095352259817e-71	1.16926804733993e-68	down
EZ55_18_30	P1	P6	6.84252454695473	481.994138965315	244.418331756135	-6.11210720850868	0.343337211320716	-17.8020529292389	6.8125145258274e-71	1.37433516723665e-68	down
EZ55_21_50	P1	P6	7.11194025680319	468.638411890185	237.875176073494	-5.97075621776754	0.339272176275791	-17.598720541451	2.51951996789217e-69	4.82866001846533e-67	down
EZ55_18_29	P1	P6	6.16887146160612	872.878379981886	439.523625721746	-7.05180083361459	0.400835710754431	-17.592745966526	2.79975750801716e-69	5.1102240610618e-67	down
EZ55_4_54	P1	P6	7.55746108121257	520.419343476573	263.988402278893	-6.06539606355682	0.349455434273944	-17.3567083773036	1.75501185448691e-67	3.05770929011288e-65	down
EZ55_31_93	P1	P6	5.18451921749982	772.149466776826	388.666992997163	-7.18736735293847	0.42248710830187	-17.0120394485577	6.68689295930779e-65	1.11438524839247e-62	down
EZ55_20_39	P1	P6	2.92178512112268	850.777684596122	426.849734858622	-8.11892405102654	0.481772453717611	-16.8521964848273	1.01089352941619e-63	1.61448120760511e-61	down
EZ55_14_38	P1	P6	3.92073942583204	564.879795065287	284.40026724556	-7.1747302942433	0.427770562496511	-16.7723796896422	3.88627882496371e-63	5.95844269443435e-61	down
EZ55_18_31	P1	P6	8.06575274946931	534.981539296753	271.523646023111	-6.05140113360654	0.361082963246966	-16.7590325480619	4.86475757721157e-63	7.17177530517383e-61	down
EZ55_42_99	P1	P6	5.29472698483543	443.523380718862	224.409053851849	-6.3229246911132	0.38182114182026	-16.5599124788372	1.35791427156347e-61	1.92773533440844e-59	down
EZ55_29_33	P1	P6	2.80386062751908	994.444061260773	498.623960944146	-8.25070238868255	0.500259996501123	-16.4928286218945	4.13146715812053e-61	5.65568343467e-59	down
EZ55_14_70	P1	P6	3.97662493534434	510.190864534503	257.083744734924	-7.02512937695654	0.427823891240498	-16.4206102576151	1.36190086331386e-60	1.80005724451104e-58	down
EZ55_31_52	P1	P6	2.75183348114078	1052.21002826542	527.480930873281	-8.43937870728941	0.515781946198545	-16.3622995521459	3.55448470659304e-60	4.54144662679037e-58	down
EZ55_30_66	P1	P6	3.74463431127112	434.210110296144	218.977372303708	-6.71122605310289	0.418826361882311	-16.02388642143	8.70361194445175e-58	1.07615950268011e-55	down
EZ55_20_54	P1	P6	2.49316146876138	833.625161260533	418.059161364647	-8.53773557631831	0.536794006557155	-15.9050501161087	5.84565102755025e-57	7.00199387143754e-55	down
EZ55_37_18	P1	P6	19.0410832030802	1477.8081726387	748.424627920888	-6.27249248227384	0.39631300606997	-15.8271174203312	2.0227808031844e-56	2.34949055109267e-54	down
EZ55_43_19	P1	P6	5.90634108609272	481.60431519004	243.755328138066	-6.31030127121671	0.404300528319943	-15.6079471314048	6.4271940574825e-55	7.24571612421483e-53	down
EZ55_2_139	P1	P6	0.714936534257843	8046.52690904478	4023.62092278952	-13.2337933376865	0.85004985053266	-15.5682555904149	1.19625335076033e-54	1.31006831241839e-52	down
EZ55_4_101	P1	P6	2.20914369830986	676.339313517974	339.274228608142	-8.24371006998365	0.533085968339542	-15.4641287889479	6.05874192066225e-54	6.45087716163844e-52	down
EZ55_7_23	P1	P6	14.7996327807774	942.606623546608	478.703128163692	-5.99903198392459	0.388415352126085	-15.4448889599431	8.16681508972137e-54	8.46037898348703e-52	down
EZ55_60_316	P1	P6	9.09524680561885	548.620097032011	278.857671918815	-5.84775142493178	0.38191072401205	-15.3118282814894	6.3746525243217e-53	6.43001134887502e-51	down
EZ55_75_12	P1	P6	2.37680022684675	787.987606215761	395.182203221304	-8.45271055928244	0.557192986532693	-15.1701668247514	5.57349805824578e-52	5.47774821980925e-50	down
EZ55_40_5	P1	P6	5.51597391143959	443.277939632623	224.396956772031	-6.3073609943748	0.418771433156582	-15.0615837064904	2.89761655431785e-51	2.77664106317508e-49	down
EZ55_6_5	P1	P6	14.0464397688114	426.893709882543	220.470074825677	-4.96783759767388	0.33080159132683	-15.0175746668815	5.63313910409552e-51	5.26629809414588e-49	down
EZ55_70_118	P1	P6	3.64517024140456	472.325604646328	237.985387443866	-7.02336804244345	0.468152921557055	-15.0022945901609	7.09243669314237e-51	6.47269282019398e-49	down
EZ55_21_38	P1	P6	3.35729410781905	1142.95198602888	573.154640068352	-8.258454757017	0.552088243751225	-14.9585774565747	1.36921615764436e-50	1.22051291447693e-48	down
EZ55_15_51	P1	P6	2.37064675226773	618.622021115378	310.496333933823	-7.95040114566152	0.535203631664233	-14.854908814687	6.46558516213105e-50	5.63240634692007e-48	down
EZ55_20_26	P1	P6	5.84816046513541	358.344107337141	182.096133901138	-5.88422217484347	0.398094622973547	-14.7809637088077	1.9436508645189e-49	1.65555861415576e-47	down
EZ55_23_18	P1	P6	2.14710471421855	502.065931356395	252.106518035307	-7.66151447806834	0.528703090767436	-14.491147511446	1.37820967703242e-47	1.14840819392723e-45	down
EZ55_60_309	P1	P6	5.73179922322078	416.989650008321	211.360724615771	-6.10824694648669	0.423587250603466	-14.4202804446653	3.85771832095234e-47	3.14609240940645e-45	down
EZ55_70_79	P1	P6	4.08453759123493	573.058816382964	288.571676987099	-7.10584908485376	0.493965959383764	-14.3853011525703	6.3998919293236e-47	5.11058036772862e-45	down
EZ55_2_134	P1	P6	2.81230921354311	386.316524937632	194.564417075588	-6.98818035044973	0.485889747990763	-14.3822346105203	6.68991196619729e-47	5.23314950335392e-45	down
EZ55_60_68	P1	P6	3.70105575091686	352.87167604126	178.286365896088	-6.59930893666233	0.459592481969888	-14.3590445787464	9.35073313787786e-47	7.16827202349717e-45	down
